# Automated Results file
# Author: 	 slj11
# DataFile name:	src/no_blocked.jobs
# Sun Apr 28 17:34:07 BST 2013
# Number of Test Runs: 10000

52,86,110,83,0
47,81,110,67,0
72,87,110,72,0
70,89,110,78,0
60,84,110,74,0
69,87,110,75,0
47,85,110,76,0
53,86,110,77,0
74,89,110,73,0
63,84,110,72,0
55,86,110,69,0
62,87,110,77,0
49,82,110,71,0
48,81,110,70,0
52,88,110,80,0
56,89,110,86,0
46,85,110,78,0
55,91,110,86,0
59,85,110,71,0
56,86,110,69,0
81,95,110,72,0
60,91,110,82,0
63,83,110,71,0
61,84,110,75,0
46,83,110,75,0
44,84,110,81,0
35,84,110,73,0
62,86,110,70,0
25,81,110,82,0
60,90,110,85,0
61,96,110,82,0
49,85,110,79,0
49,88,110,79,0
60,84,110,75,0
64,83,110,71,0
54,86,110,71,0
62,85,110,76,0
62,83,110,67,0
63,88,110,79,0
43,83,110,73,0
71,91,110,78,0
66,91,110,81,0
48,87,110,74,0
71,89,110,86,0
74,93,110,83,0
35,78,110,65,0
49,83,110,73,0
54,91,110,81,0
64,88,110,73,0
47,86,110,80,0
55,86,110,64,0
64,89,110,78,0
64,88,110,79,0
53,87,110,78,0
58,88,110,81,0
74,90,110,76,0
76,89,110,76,0
57,90,110,85,0
42,78,110,71,0
58,82,110,73,0
52,86,110,81,0
51,81,110,72,0
58,82,110,72,0
53,85,110,77,0
57,91,110,82,0
63,92,110,78,0
42,82,110,76,0
91,97,110,78,0
52,80,110,62,0
69,87,110,86,0
41,77,110,65,0
45,86,110,70,0
39,83,110,76,0
36,82,110,66,0
62,86,110,73,0
62,91,110,86,0
70,90,110,78,0
74,89,110,74,0
59,86,110,82,0
48,83,110,77,0
53,88,110,79,0
48,80,110,65,0
59,87,110,82,0
61,87,110,71,0
40,79,110,73,0
59,85,110,79,0
69,87,110,70,0
63,86,110,67,0
60,89,110,77,0
52,85,110,81,0
51,88,110,77,0
70,90,110,75,0
53,84,110,70,0
43,85,110,79,0
45,83,110,82,0
62,82,110,66,0
46,83,110,77,0
46,83,110,75,0
67,94,110,80,0
48,88,110,78,0
53,85,110,65,0
64,87,110,74,0
41,84,110,76,0
42,86,110,81,0
39,81,110,65,0
44,82,110,68,0
40,86,110,77,0
65,88,110,76,0
63,90,110,81,0
60,88,110,83,0
79,97,110,84,0
53,80,110,72,0
60,88,110,76,0
61,90,110,74,0
61,81,110,73,0
70,88,110,75,0
56,84,110,74,0
67,91,110,76,0
57,88,110,75,0
37,87,110,83,0
81,95,110,87,0
