# Automated Results file
# Author: 	 slj11
# DataFile name:	no_blocked.jobs
# Thu May 02 12:58:00 BST 2013
# Number of Test Runs: 10000

36,40,83,110,82,0
48,52,85,110,71,0
45,49,86,110,74,0
34,38,84,110,74,0
56,60,88,110,78,0
54,58,87,110,74,0
51,55,87,110,78,0
46,50,83,110,73,0
33,37,81,110,78,0
47,51,83,110,68,0
44,48,83,110,63,0
35,39,82,110,84,0
61,65,91,110,74,0
76,80,91,110,72,0
44,48,86,110,81,0
62,62,88,110,83,0
49,53,83,110,81,0
41,45,86,110,80,0
67,71,87,110,75,0
81,81,93,110,79,0
29,33,82,110,74,0
52,56,89,110,74,0
29,33,82,110,82,0
49,53,84,110,72,0
59,63,87,110,75,0
38,42,85,110,82,0
68,72,90,110,80,0
39,43,78,110,63,0
51,55,84,110,74,0
46,50,85,110,77,0
54,58,86,110,79,0
41,45,82,110,70,0
42,46,86,110,81,0
72,72,87,110,72,0
54,58,85,110,67,0
68,72,90,110,76,0
55,59,85,110,77,0
36,40,83,110,76,0
53,57,84,110,70,0
30,34,82,110,79,0
39,43,88,110,77,0
63,63,83,110,76,0
56,60,88,110,77,0
59,63,88,110,71,0
51,55,89,110,79,0
38,42,86,110,85,0
51,55,87,110,78,0
60,64,87,110,80,0
32,36,81,110,68,0
76,80,94,110,78,0
63,67,87,110,86,0
87,91,97,110,82,0
63,63,85,110,74,0
57,61,91,110,79,0
46,50,83,110,73,0
49,53,89,110,78,0
42,46,83,110,73,0
36,40,79,110,71,0
58,62,91,110,75,0
51,55,87,110,84,0
47,51,87,110,82,0
58,62,84,110,73,0
73,77,93,110,75,0
54,58,82,110,72,0
54,58,84,110,72,0
56,60,87,110,66,0
70,70,91,110,77,0
50,54,85,110,78,0
66,70,94,110,83,0
42,46,83,110,71,0
37,41,81,110,73,0
33,37,84,110,80,0
79,79,90,110,70,0
55,59,89,110,83,0
35,39,80,110,80,0
65,65,89,110,76,0
45,49,82,110,69,0
59,63,90,110,79,0
67,71,91,110,78,0
61,65,89,110,86,0
57,57,85,110,67,0
65,69,92,110,81,0
41,45,87,110,74,0
53,57,88,110,81,0
45,49,85,110,77,0
59,63,93,110,81,0
63,67,90,110,81,0
68,72,91,110,78,0
60,64,85,110,81,0
64,68,85,110,71,0
41,45,84,110,78,0
65,69,88,110,83,0
53,57,84,110,73,0
50,54,84,110,68,0
53,53,86,110,72,0
48,52,81,110,78,0
30,34,77,110,66,0
44,48,90,110,88,0
61,65,90,110,76,0
69,73,91,110,81,0
45,49,86,110,80,0
37,41,88,110,76,0
52,56,86,110,79,0
59,59,86,110,75,0
42,46,90,110,77,0
66,70,88,110,69,0
28,32,79,110,63,0
39,43,82,110,83,0
43,47,81,110,77,0
51,55,86,110,74,0
51,55,89,110,79,0
64,68,94,110,79,0
76,76,91,110,76,0
60,60,84,110,67,0
62,66,84,110,75,0
56,60,86,110,79,0
32,36,83,110,78,0
49,53,84,110,74,0
47,51,80,110,70,0
74,74,90,110,73,0
68,72,91,110,78,0
54,58,86,110,66,0
34,38,87,110,85,0
42,46,82,110,74,0
43,47,84,110,73,0
35,39,81,110,76,0
58,62,92,110,84,0
51,55,82,110,74,0
31,35,82,110,75,0
86,86,92,110,68,0
58,62,85,110,70,0
59,63,89,110,81,0
82,82,93,110,76,0
54,54,84,110,82,0
73,73,91,110,81,0
43,47,88,110,87,0
73,73,91,110,84,0
56,60,87,110,75,0
44,48,85,110,68,0
74,78,93,110,77,0
55,59,86,110,74,0
68,68,89,110,84,0
72,72,88,110,72,0
76,76,91,110,77,0
43,47,87,110,77,0
56,60,86,110,79,0
40,44,84,110,73,0
35,39,80,110,74,0
54,58,85,110,78,0
28,32,84,110,83,0
42,46,84,110,78,0
53,57,85,110,76,0
67,67,86,110,70,0
38,42,78,110,65,0
35,39,85,110,82,0
56,60,88,110,77,0
54,58,88,110,80,0
47,51,87,110,75,0
52,56,90,110,78,0
42,46,86,110,78,0
58,62,82,110,70,0
45,49,89,110,74,0
47,51,87,110,84,0
54,58,87,110,69,0
49,53,85,110,71,0
25,29,79,110,62,0
60,60,88,110,77,0
52,56,87,110,73,0
38,42,83,110,75,0
58,62,84,110,70,0
34,38,83,110,76,0
72,72,88,110,75,0
56,60,84,110,73,0
42,46,83,110,65,0
60,64,88,110,80,0
45,49,84,110,77,0
71,71,90,110,78,0
35,39,82,110,70,0
55,59,94,110,87,0
66,66,87,110,76,0
56,60,88,110,72,0
34,38,87,110,75,0
63,67,91,110,76,0
50,54,81,110,71,0
42,46,84,110,78,0
59,63,89,110,76,0
54,58,87,110,79,0
77,77,92,110,72,0
58,62,85,110,77,0
64,68,89,110,72,0
50,54,83,110,77,0
57,61,86,110,70,0
35,39,84,110,77,0
54,58,87,110,73,0
53,57,87,110,74,0
52,56,87,110,74,0
56,60,94,110,81,0
42,46,83,110,68,0
60,64,92,110,81,0
55,59,88,110,76,0
71,71,86,110,68,0
51,55,85,110,79,0
41,45,80,110,74,0
76,76,89,110,77,0
52,56,91,110,86,0
