# Automated Results file
# Author: 	 slj11
# DataFile name:	src/no_blocked.jobs
# Sat Apr 27 13:23:34 BST 2013
# Number of Test Runs: 10000

86,110,68,0
83,110,73,0
81,110,70,0
80,110,77,0
90,110,81,0
85,110,81,0
89,110,76,0
82,110,69,0
90,110,75,0
82,110,69,0
84,110,76,0
86,110,82,0
83,110,71,0
87,110,70,0
91,110,76,0
88,110,74,0
88,110,76,0
86,110,70,0
82,110,84,0
85,110,67,0
83,110,71,0
90,110,76,0
87,110,74,0
88,110,74,0
87,110,79,0
83,110,82,0
92,110,87,0
90,110,85,0
92,110,80,0
88,110,82,0
85,110,74,0
83,110,68,0
85,110,78,0
89,110,78,0
86,110,71,0
91,110,88,0
89,110,81,0
84,110,75,0
85,110,72,0
89,110,77,0
88,110,79,0
86,110,82,0
87,110,81,0
87,110,74,0
81,110,76,0
87,110,79,0
84,110,72,0
83,110,73,0
90,110,79,0
86,110,65,0
85,110,71,0
85,110,71,0
88,110,74,0
95,110,87,0
88,110,80,0
80,110,71,0
87,110,64,0
86,110,74,0
83,110,76,0
91,110,70,0
92,110,81,0
92,110,79,0
83,110,72,0
86,110,73,0
90,110,67,0
91,110,84,0
93,110,87,0
87,110,72,0
82,110,74,0
90,110,71,0
86,110,74,0
85,110,73,0
86,110,80,0
88,110,85,0
87,110,86,0
79,110,76,0
86,110,74,0
89,110,81,0
90,110,78,0
90,110,83,0
87,110,71,0
90,110,73,0
86,110,76,0
81,110,80,0
96,110,90,0
83,110,77,0
90,110,83,0
83,110,64,0
83,110,69,0
81,110,79,0
79,110,67,0
88,110,86,0
88,110,68,0
88,110,77,0
82,110,78,0
87,110,68,0
90,110,81,0
91,110,85,0
86,110,82,0
85,110,83,0
89,110,79,0
88,110,73,0
85,110,73,0
92,110,82,0
88,110,78,0
82,110,73,0
85,110,81,0
86,110,75,0
87,110,72,0
81,110,77,0
84,110,73,0
90,110,81,0
88,110,75,0
87,110,83,0
86,110,80,0
90,110,75,0
86,110,79,0
